ダウンロードした時刻：2024/11/27 12:10:13

,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
2019/9/15,29.9,17.2,0,1,0,1,0,1,9.9,0,2.1,晴,晴後曇
2019/9/16,22.5,20.1,17.5,0,0,1,0,1,0.0,0,1.0,雨一時曇,晴時々曇一時雨
2019/9/17,27.9,16.3,0.0,0,0,1,0,1,9.3,0,1.8,晴,晴時々曇
2019/9/18,22.2,14.8,0,1,0,1,0,1,0.2,0,1.1,曇,曇
2019/9/19,22.9,14.5,0.0,0,0,1,0,1,8.2,0,2.4,晴,薄曇
2019/9/20,24.4,14.4,0,1,0,1,0,1,4.2,0,2.6,曇後一時晴,曇一時晴
2019/9/21,23.0,12.8,0.0,0,0,1,0,1,2.7,0,1.7,曇後一時雨,曇時々雨
2019/9/22,22.3,17.1,1.5,0,0,1,0,1,0.5,0,1.2,曇時々雨,雨一時曇
2019/9/23,27.4,16.8,0.5,0,0,1,0,1,3.6,0,2.6,薄曇時々雨,晴時々曇一時雨
2019/9/24,25.4,17.1,0.0,0,0,1,0,1,3.2,0,1.8,晴時々曇一時雨,晴時々曇
2019/9/25,24.7,13.7,0.0,0,0,1,0,1,8.3,0,2.4,晴,晴
2019/9/26,24.2,11.2,0,1,0,1,0,1,9.5,0,1.2,薄曇時々晴,快晴
2019/9/27,26.9,11.2,0,1,0,1,0,1,11.0,0,1.1,快晴,薄曇一時晴
2019/9/28,25.6,13.3,0.5,0,0,1,0,1,3.3,0,1.1,曇後一時雨,曇時々雨
2019/9/29,26.0,17.4,1.5,0,0,1,0,1,1.8,0,1.7,曇一時雨,曇時々晴
2019/9/30,27.7,16.1,0,1,0,1,0,1,10.4,0,1.5,晴,晴時々薄曇
2019/10/1,27.7,16.8,0,1,0,1,0,1,10.4,0,1.3,晴時々薄曇,晴一時薄曇
2019/10/2,29.7,13.8,0,1,0,1,0,1,10.4,0,1.0,晴,晴一時薄曇
2019/10/3,23.5,14.9,0.5,0,0,1,0,1,0.3,0,1.0,曇時々雨,曇時々雨
2019/10/4,27.4,18.3,5.0,0,0,1,0,1,1.3,0,2.5,雨時々曇,曇一時雨
2019/10/5,24.1,17.1,0.0,0,0,1,0,1,1.1,0,1.6,曇,曇時々雨
2019/10/6,21.8,12.3,8.0,0,0,1,0,1,3.2,0,1.5,晴時々曇一時雨,晴後一時曇
2019/10/7,20.9,10.8,0.0,0,0,1,0,1,2.1,0,1.4,曇,曇時々雨
2019/10/8,23.9,15.3,10.5,0,0,1,0,1,0.3,0,2.5,曇時々雨,曇時々雨一時晴
2019/10/9,21.3,10.2,0.0,0,0,1,0,1,7.3,0,2.2,晴,晴
2019/10/10,22.6,7.2,0,1,0,1,0,1,10.6,0,1.8,晴,曇時々晴一時雨
2019/10/11,22.3,13.8,12.5,0,0,1,0,1,1.0,0,0.8,曇時々雨,雨
2019/10/12,19.2,15.6,147.5,0,0,1,0,1,0.0,0,1.5,大雨,大雨
2019/10/13,20.8,9.8,22.5,0,0,1,0,1,5.8,0,2.9,曇後晴,晴後曇
2019/10/14,14.7,9.3,0.5,0,0,1,0,1,0.1,0,0.9,雨一時曇,曇時々晴一時雨
2019/10/15,16.0,7.2,0.0,0,0,1,0,1,0.6,0,1.7,曇一時雨,晴一時曇
2019/10/16,17.7,4.5,0,1,0,1,0,1,9.1,0,1.1,晴,晴
2019/10/17,19.7,4.9,0,1,0,1,0,1,7.5,0,1.3,薄曇一時晴,曇一時晴
2019/10/18,16.8,8.3,2.0,0,0,1,0,1,3.3,0,1.6,曇,雨一時曇
2019/10/19,16.8,12.1,20.5,0,0,1,0,1,0.0,0,0.8,雨時々曇,霧時々曇
2019/10/20,20.6,10.1,0.0,0,0,1,0,1,4.3,0,1.4,薄曇,薄曇時々晴
2019/10/21,17.8,7.9,0,1,0,1,0,1,4.9,0,1.3,曇,曇後一時雨
2019/10/22,14.5,12.6,18.5,0,0,1,0,1,0.0,0,1.4,雨,曇時々雨
2019/10/23,21.6,12.8,0.0,0,0,1,0,1,8.2,0,1.1,晴,薄曇
2019/10/24,18.6,11.6,0.0,0,0,1,0,1,1.5,0,2.7,曇,曇時々雨
2019/10/25,16.2,13.5,51.5,0,0,1,0,1,0.0,0,2.2,雨,大雨後一時曇
2019/10/26,19.8,13.2,5.5,0,0,1,0,1,2.2,0,1.3,曇一時雨,曇時々晴一時雨
2019/10/27,18.5,8.4,2.0,0,0,1,0,1,1.6,0,1.6,曇時々雨,快晴
2019/10/28,18.7,6.0,0,1,0,1,0,1,9.8,0,1.3,晴,晴時々薄曇
2019/10/29,13.3,7.3,0.0,0,0,1,0,1,0.0,0,1.0,曇時々雨,曇時々晴一時雨
2019/10/30,18.7,9.4,0.0,0,0,1,0,1,2.1,0,1.7,晴時々曇,晴
2019/10/31,21.1,6.5,0,1,0,1,0,1,9.4,0,2.1,晴,晴後一時曇
2019/11/1,19.6,9.0,0.5,0,0,1,0,1,2.0,0,3.1,晴時々雨一時曇,晴
2019/11/2,17.3,6.7,0,1,0,1,0,1,8.2,0,2.0,晴,薄曇一時晴
2019/11/3,16.3,5.7,0.0,0,0,1,0,1,4.0,0,1.1,薄曇,曇
2019/11/4,14.8,6.3,0.0,0,0,1,0,1,6.7,0,1.8,晴後一時曇,晴時々雨一時曇
2019/11/5,16.3,5.4,0.0,0,0,1,0,1,5.0,0,2.0,晴一時雨,晴後一時曇
2019/11/6,17.6,5.5,0.0,0,0,1,0,1,7.7,0,2.4,晴一時雨,晴時々薄曇
2019/11/7,18.2,3.6,0.0,0,0,1,0,1,4.2,0,1.9,曇,曇時々雨一時晴
2019/11/8,12.6,4.9,0.0,0,0,1,0,1,2.1,0,1.9,晴,晴
2019/11/9,14.0,2.7,0.5,0,0,1,0,1,4.9,0,1.7,晴時々曇一時雨,曇一時雨
2019/11/10,13.9,4.9,0.0,0,0,1,0,1,6.1,0,1.4,晴,薄曇時々晴
2019/11/11,13.3,3.4,4.0,0,0,1,0,1,2.5,0,1.4,曇後一時雨,雨一時曇
2019/11/12,17.3,8.1,4.0,0,0,1,0,1,5.0,0,2.4,晴時々曇一時雨,晴時々曇
2019/11/13,17.6,5.2,0,1,0,1,0,1,9.1,0,1.5,晴後一時薄曇,曇後一時雨
2019/11/14,15.0,3.7,3.0,0,0,1,0,1,0.5,0,2.4,雨後一時曇,雨時々曇
2019/11/15,12.4,3.6,1.5,0,0,1,0,1,3.8,0,2.6,雨時々晴一時曇,雨後一時曇
2019/11/16,11.9,5.0,1.0,0,0,1,0,1,1.9,0,1.2,晴時々曇一時雨,雨時々曇一時晴
2019/11/17,12.0,4.8,0.0,0,0,1,0,1,7.7,0,2.1,晴時々薄曇一時雨,曇後一時晴
2019/11/18,17.4,2.2,2.0,0,0,1,0,1,4.9,0,1.5,曇時々晴一時雨,雨一時曇
2019/11/19,15.5,4.5,4.5,0,0,1,0,1,2.3,0,3.0,雨一時晴,雨
2019/11/20,6.8,1.4,1.5,0,0,1,0,1,5.4,0,2.5,晴時々みぞれ,雨時々曇一時晴
2019/11/21,10.1,1.3,0.5,0,0,1,0,1,5.1,0,2.2,晴一時雨,晴
2019/11/22,8.6,-0.9,0.0,0,0,1,0,1,3.7,0,0.9,曇時々晴,曇一時晴
2019/11/23,13.9,2.7,0.0,0,0,1,0,1,2.9,0,0.8,曇一時晴,曇一時晴
2019/11/24,16.7,7.5,0.0,0,0,1,0,1,0.4,0,0.9,曇一時雨,曇時々霧
2019/11/25,16.8,4.2,0.0,0,0,1,0,1,0.3,0,2.2,曇時々雨,曇
2019/11/26,8.6,0.2,0,1,0,1,0,1,8.5,0,1.3,晴,晴
2019/11/27,7.6,-0.2,0,1,0,1,0,1,0.7,0,1.0,曇,曇後一時雨
2019/11/28,6.1,-1.5,0.0,0,0,1,0,1,1.1,0,2.2,曇時々雨一時雪,晴時々曇一時雪
2019/11/29,5.7,-2.8,0.5,0,0,1,0,1,4.3,0,1.4,曇時々晴一時雨、みぞれを伴う,雪後一時晴、みぞれを伴う
2019/11/30,6.3,-0.6,0.0,0,1,0,1,0,1.2,0,1.4,曇時々雪一時晴,晴時々曇
2019/12/1,9.1,-1.5,0,1,0,1,0,1,6.3,0,0.9,薄曇後晴,曇一時晴
2019/12/2,12.0,2.2,0.5,0,0,1,0,1,0.0,0,1.9,曇時々雨,曇時々雨
2019/12/3,10.3,2.2,4.0,0,0,1,0,1,0.0,0,2.1,雨,雨
2019/12/4,4.6,1.6,5.0,0,0,1,0,1,0.0,0,1.9,雨,雨後一時雪
2019/12/5,3.1,0.7,2.5,0,0,1,0,1,0.0,0,1.3,雪時々みぞれ,雪一時みぞれ
2019/12/6,4.0,-0.1,1.0,0,0,1,0,0,1.5,0,1.6,雪後曇,曇
2019/12/7,7.8,-0.2,0.0,0,0,1,0,1,2.6,0,2.2,曇,雨一時曇
2019/12/8,7.1,-0.1,0.0,0,0,1,0,1,3.9,0,1.9,晴時々曇,晴一時曇
2019/12/9,8.2,-2.9,0,1,0,1,0,1,8.2,0,1.0,晴,快晴
2019/12/10,11.7,-2.0,0,1,0,1,0,1,8.0,0,0.9,晴後一時薄曇,薄曇時々晴
2019/12/11,8.9,-0.6,0,1,0,1,0,1,3.7,0,0.9,曇時々晴一時霧,曇時々晴
2019/12/12,11.8,0.3,1.5,0,1,0,1,0,1.2,0,2.9,雨,雪時々曇一時晴
2019/12/13,6.7,0.6,0.0,0,0,1,0,0,0.9,0,1.9,曇,薄曇後晴
2019/12/14,14.2,-1.6,6.5,0,0,1,0,1,6.1,0,2.2,晴後雨,雨後一時みぞれ
2019/12/15,5.7,-1.7,0.5,0,0,1,0,1,0.8,0,1.8,曇時々みぞれ,晴
2019/12/16,8.0,-3.7,0,1,0,1,0,1,8.7,0,1.1,快晴,晴
2019/12/17,5.3,-2.8,0.5,0,0,1,0,1,0.6,0,0.9,曇時々雨一時雪,曇時々雨
2019/12/18,11.2,2.0,0.5,0,0,1,0,1,1.5,0,2.0,曇時々雨,曇一時雨
2019/12/19,9.1,1.6,0.0,0,0,1,0,1,6.2,0,1.1,晴時々曇,曇時々雨
2019/12/20,8.9,0.8,1.5,0,0,1,0,0,2.6,0,2.6,曇一時雪,雪時々曇一時みぞれ
2019/12/21,7.3,-0.4,0.5,0,0,1,0,1,3.6,0,1.4,曇後一時雨,雨時々曇一時晴
2019/12/22,6.6,0.8,0.0,0,0,1,0,1,2.2,0,1.3,曇,雨時々曇
2019/12/23,8.3,2.6,2.5,0,0,1,0,1,3.3,0,1.4,雨後晴一時曇,雨後曇一時雪、みぞれを伴う
2019/12/24,5.5,-1.5,0.0,0,0,1,0,1,4.8,0,1.9,曇時々晴一時雪,晴一時曇
2019/12/25,9.5,-2.6,0.0,0,0,1,0,1,7.7,0,1.9,晴時々薄曇,曇一時雨
2019/12/26,5.7,1.5,6.0,0,0,1,0,1,0.0,0,1.2,雨一時曇,雨一時曇
2019/12/27,7.5,0.5,6.0,0,0,1,0,1,1.8,0,2.0,雨一時雪,曇時々雪
2019/12/28,2.6,-0.5,1.0,0,2,0,2,0,0.4,0,1.3,雪時々晴一時曇,曇時々雪一時晴
2019/12/29,7.9,-0.4,0,1,0,1,0,1,6.7,0,1.4,晴後一時曇,曇時々晴
2019/12/30,4.0,-0.9,1.5,0,0,1,0,1,0.0,0,0.9,雨時々曇,曇一時雨、霧を伴う
2019/12/31,12.4,-1.5,1.0,0,0,1,0,0,0.2,0,2.5,雨時々雪,雪時々曇
2020/1/1,5.3,-1.3,0.5,0,1,0,1,0,4.2,0,2.2,曇時々みぞれ一時雪,雪後曇一時晴
2020/1/2,6.0,-1.1,0.0,0,0,1,0,0,3.6,0,1.8,曇時々晴一時雪,晴一時曇
2020/1/3,6.8,-1.3,0.5,0,0,1,0,1,3.3,0,2.1,雨時々曇一時晴,雨時々曇一時みぞれ
2020/1/4,5.3,0.0,1.0,0,2,0,2,0,3.4,0,1.5,曇時々晴一時雪,雪時々曇
2020/1/5,1.9,-1.4,1.5,0,5,0,4,0,1.8,0,1.5,雪一時曇,曇一時雪
2020/1/6,7.0,-0.5,0.0,0,0,1,1,0,2.6,0,2.0,晴後曇,晴時々曇
2020/1/7,3.6,-3.5,3.5,0,4,0,4,0,1.6,0,1.0,曇,雪一時みぞれ
2020/1/8,10.0,0.0,14.0,0,1,0,5,0,0.0,0,1.6,雨一時曇,雨
2020/1/9,8.4,1.6,1.0,0,0,1,0,1,2.4,0,2.1,雨時々曇,曇
2020/1/10,7.8,1.1,0.0,0,0,1,0,1,1.4,0,1.1,曇時々雨,曇時々晴一時雨
2020/1/11,11.1,-0.6,1.5,0,0,1,0,1,5.7,0,1.8,晴時々曇一時雨,晴一時雨、霧を伴う
2020/1/12,7.6,-1.5,0.0,0,0,1,0,1,2.6,0,1.1,霧時々薄曇一時雨,曇時々雪一時雨、霧を伴う
2020/1/13,5.8,1.1,0.0,0,0,1,0,1,0.2,0,1.1,雨時々曇一時晴,曇時々雪一時みぞれ
2020/1/14,7.9,0.7,2.5,0,0,1,0,1,1.3,0,1.8,雨一時曇,曇一時雨
2020/1/15,3.7,0.7,2.5,0,0,1,0,1,0.3,0,0.8,みぞれ時々雨一時雪,曇時々雪一時晴
2020/1/16,5.7,-0.6,0.0,0,1,0,1,0,2.8,0,2.0,曇一時みぞれ,曇一時雨
2020/1/17,7.0,-0.8,0.0,0,0,1,0,1,4.7,0,1.8,晴時々曇一時雪,晴後薄曇
2020/1/18,1.9,-3.1,0,1,0,1,0,1,0.0,0,0.9,曇,曇
2020/1/19,5.5,-1.7,1.5,0,1,0,1,0,2.5,0,1.1,曇一時晴,雨時々曇一時雪、みぞれを伴う
2020/1/20,6.8,0.4,3.5,0,1,0,2,0,1.1,0,2.5,雨時々曇,雨後一時雪
2020/1/21,3.3,-1.3,11.0,0,6,0,3,0,0.6,0,2.0,雪,曇時々晴一時雪
2020/1/22,5.8,-3.4,0,1,0,1,3,0,6.8,0,1.2,晴時々薄曇,曇時々晴一時霧
2020/1/23,3.0,-1.4,1.5,0,0,1,0,1,0.0,0,0.9,曇後雨,霧時々雨
2020/1/24,6.7,0.1,0.5,0,0,1,0,1,1.8,0,1.6,雨一時曇、霧を伴う,晴一時曇
2020/1/25,5.3,-1.9,0,1,0,1,0,1,7.6,0,1.8,薄曇時々晴,薄曇一時晴
2020/1/26,6.8,-3.4,0,1,0,1,0,1,5.2,0,1.6,曇時々晴,晴
2020/1/27,4.6,-2.9,0,1,0,1,0,1,1.3,0,1.3,薄曇一時晴,曇後一時雨
2020/1/28,6.3,1.6,2.0,0,0,1,0,1,0.0,0,2.2,雨,雨
2020/1/29,7.1,3.1,33.0,0,0,1,0,1,0.0,0,1.7,大雨,雨時々曇、霧を伴う
2020/1/30,11.4,2.7,0.0,0,0,1,0,1,1.1,0,2.5,雨時々曇,雨時々晴一時曇
2020/1/31,6.8,0.8,0.0,0,0,1,0,1,5.8,0,2.5,みぞれ時々曇一時晴,雪時々曇
2020/2/1,7.5,-0.1,0.5,0,0,1,0,1,3.3,0,2.2,晴時々曇一時雨,晴時々雪
2020/2/2,7.4,-1.1,0.0,0,0,1,0,1,4.0,0,1.7,晴時々曇一時雪,快晴
2020/2/3,11.5,-3.1,4.5,0,0,1,0,1,5.4,0,2.3,晴時々雨一時曇,雨時々曇一時雪
2020/2/4,6.2,-0.1,0.5,0,0,1,0,1,5.6,0,2.0,曇時々晴,晴時々雪後みぞれ一時雨
2020/2/5,4.8,-3.7,7.5,0,3,0,3,0,0.5,0,3.0,雨後みぞれ時々曇一時雪,雪時々曇
2020/2/6,-1.9,-6.4,2.0,0,4,0,7,0,5.3,0,2.3,雪後曇時々晴,晴後一時曇
2020/2/7,4.3,-5.9,0,1,0,1,3,0,9.3,0,3.1,晴一時曇,晴後時々曇
2020/2/8,3.3,-2.8,0.0,0,0,1,1,0,2.1,0,1.9,雪後曇一時晴、みぞれを伴う,曇後雪時々晴
2020/2/9,0.3,-5.0,0.0,0,3,0,2,0,4.4,0,1.8,雪後曇一時晴,雪後曇時々晴
2020/2/10,2.8,-5.4,4.5,0,7,0,7,0,3.2,0,1.5,曇時々晴後雪,雪時々晴
2020/2/11,3.8,-3.4,0.5,0,1,0,7,0,6.2,0,1.5,曇時々雪一時晴,晴
2020/2/12,7.4,-5.4,0,1,0,1,0,1,9.0,0,1.0,晴後一時曇,曇時々晴後みぞれ一時雪
2020/2/13,12.8,0.6,5.5,0,0,1,0,1,0.5,0,1.7,雨一時みぞれ,曇後一時晴
2020/2/14,13.0,4.3,0.0,0,0,1,0,1,1.0,0,1.3,曇一時雨,晴一時曇後一時雨
2020/2/15,11.5,1.1,0.0,0,0,1,0,1,8.4,0,1.4,晴後一時曇,晴後時々曇
2020/2/16,5.1,-0.3,10.0,0,0,1,0,1,0.0,0,0.7,雨時々曇、みぞれを伴う,雨後時々曇、霧を伴う
2020/2/17,9.9,2.3,1.0,0,0,1,0,1,1.2,0,2.3,曇時々雨,曇時々雨一時晴後みぞれ
2020/2/18,3.2,0.1,5.5,0,1,0,1,0,1.3,0,2.2,雪時々雨一時曇後みぞれ,みぞれ時々曇一時雪
2020/2/19,7.3,0.3,0.0,0,0,1,0,1,5.0,0,2.1,みぞれ後曇時々晴一時雨,晴後曇一時雪
2020/2/20,7.0,-0.4,0.0,0,0,1,0,1,1.3,0,1.4,みぞれ一時雪後曇時々雨,晴
2020/2/21,10.7,-2.9,0,1,0,1,0,1,7.9,0,1.7,晴後時々曇,曇時々晴
2020/2/22,12.3,-0.3,0.5,0,0,1,0,1,2.4,0,1.9,曇一時晴後雨,雨
2020/2/23,6.1,0.3,17.5,0,3,0,3,0,0.7,0,2.5,みぞれ時々雨一時雪,みぞれ一時雪後晴
2020/2/24,8.6,-1.5,0.0,0,0,1,3,0,3.3,0,2.5,曇時々晴後雨,雨後曇時々晴
2020/2/25,10.3,2.1,1.5,0,0,1,0,1,0.2,0,1.4,曇後時々雨,みぞれ時々雨
2020/2/26,4.7,1.7,1.5,0,0,1,0,1,0.0,0,1.0,曇時々みぞれ後雨,曇時々晴一時雨後みぞれ
2020/2/27,5.4,-0.1,2.0,0,0,1,0,1,3.5,0,1.7,みぞれ一時雪後曇時々晴,晴後曇一時雪
2020/2/28,6.4,-1.3,0.0,0,0,1,0,1,3.0,0,1.9,曇,曇時々晴
2020/2/29,10.8,-0.4,0.0,0,0,1,0,1,3.8,0,1.6,曇時々晴,曇時々晴後雨
2020/3/1,11.5,1.2,0.0,0,0,1,0,1,7.0,0,1.9,晴,曇時々晴
2020/3/2,7.3,-1.4,1.5,0,0,1,0,1,2.5,0,1.2,曇時々晴後雨,雨時々曇一時晴
2020/3/3,9.5,1.4,1.0,0,0,1,0,1,2.6,0,1.9,曇時々晴一時雨,晴一時曇
2020/3/4,8.8,-1.3,0.5,0,0,1,0,1,2.6,0,0.9,曇時々晴後雨,曇時々雨一時晴
2020/3/5,6.7,0.3,6.5,0,3,0,3,0,1.8,0,2.4,雨一時曇後みぞれ時々雪,雪時々みぞれ
2020/3/6,7.2,0.2,0.5,0,1,0,4,0,5.3,0,2.3,みぞれ時々晴一時雪後曇,晴
2020/3/7,10.1,0.3,0,1,0,1,0,1,9.8,0,2.2,晴,曇時々晴
2020/3/8,8.9,0.1,0.5,0,0,1,0,1,0.5,0,0.9,曇時々雨、みぞれを伴う,雨後曇時々晴
2020/3/9,20.1,6.3,0,1,0,1,0,1,6.7,0,1.6,晴時々曇,曇時々晴
2020/3/10,12.4,8.3,13.0,0,0,1,0,1,0.0,0,1.0,雨時々曇,雨時々霧一時曇
2020/3/11,14.6,3.1,0.5,0,0,1,0,1,1.4,0,3.1,雨,みぞれ時々雨一時曇
2020/3/12,10.4,1.3,0.0,0,0,1,0,1,5.8,0,2.2,曇時々晴一時雨、みぞれを伴う,晴
2020/3/13,15.3,-1.2,0.0,0,0,1,0,1,6.1,0,2.8,曇時々晴,雨時々曇一時みぞれ
2020/3/14,5.7,0.6,0.0,0,0,1,0,1,0.0,0,1.4,曇,曇時々晴、みぞれを伴う
2020/3/15,9.7,0.1,3.5,0,0,1,0,1,6.6,0,1.8,晴時々曇,みぞれ一時雨後曇時々晴
2020/3/16,6.6,-0.9,0.5,0,0,1,0,1,2.6,0,2.4,雨時々みぞれ一時曇後雪,雪時々晴一時曇
2020/3/17,9.5,-1.3,8.0,0,0,1,0,1,2.7,0,2.6,曇時々雪一時みぞれ後雨,雨後時々曇一時晴
2020/3/18,11.9,1.3,3.0,0,0,1,0,1,5.4,0,2.9,晴後曇時々雨,晴
2020/3/19,21.4,1.5,0,1,0,1,0,1,10.7,0,1.7,晴,曇後晴時々雨
2020/3/20,12.0,4.1,1.5,0,0,1,0,1,2.7,0,3.7,雨,晴時々雨一時曇、みぞれを伴う
2020/3/21,16.0,4.0,0.0,0,0,1,0,1,6.2,0,3.4,晴時々雨,晴時々曇一時雨
2020/3/22,10.6,4.8,6.0,0,0,1,0,1,0.0,0,1.5,雨,晴一時雨
2020/3/23,10.7,0.6,0,1,0,1,0,1,8.9,0,2.2,晴一時曇,曇時々晴後雪、みぞれを伴う
2020/3/24,6.2,-0.2,6.5,0,7,0,7,0,4.2,0,1.9,雪後みぞれ時々曇一時晴,曇時々晴後雪、みぞれを伴う
2020/3/25,10.7,0.8,0.0,0,0,1,0,1,9.9,0,2.4,晴一時曇,晴後一時曇
2020/3/26,16.7,0.3,0,1,0,1,0,1,10.3,0,1.5,晴,晴後一時曇
2020/3/27,17.1,1.3,0.0,0,0,1,0,1,3.9,0,1.1,曇時々晴後雨,雨後時々曇
2020/3/28,11.8,1.6,0.5,0,0,1,0,1,1.3,0,2.6,曇一時雨,みぞれ時々曇
2020/3/29,6.3,0.3,4.5,0,0,1,0,1,1.4,0,1.2,みぞれ時々雨後曇一時晴,晴後時々曇
2020/3/30,13.7,-1.4,0,1,0,1,0,1,9.9,0,1.3,晴時々曇,晴
2020/3/31,19.0,0.3,0,1,0,1,0,1,10.8,0,1.7,晴,晴後曇一時雨
2020/4/1,14.2,8.4,22.0,0,0,1,0,1,0.0,0,1.4,雨,雨後一時曇
2020/4/2,11.9,4.3,7.5,0,0,1,0,1,4.7,0,3.0,雨後曇時々晴,晴
2020/4/3,17.7,4.9,0,1,0,1,0,1,11.9,0,2.6,晴,晴
2020/4/4,21.1,2.2,3.5,0,0,1,0,1,9.9,0,1.8,晴,雨時々曇一時晴
2020/4/5,11.3,4.7,0.5,0,0,1,0,1,2.6,0,3.4,曇時々晴後雨,雨時々曇一時晴、みぞれを伴う
2020/4/6,7.7,1.9,3.0,0,0,1,0,1,1.2,0,2.8,雨時々曇、みぞれを伴う,雨時々曇後晴
2020/4/7,13.3,3.8,0,1,0,1,0,1,2.8,0,2.0,曇時々晴,晴
2020/4/8,20.2,0.9,0.5,0,0,1,0,1,8.8,0,1.9,晴後曇一時雨,雨時々曇一時晴、雷を伴う
2020/4/9,12.0,3.3,1.5,0,0,1,0,1,3.5,0,2.1,曇時々晴一時雨,晴一時曇後一時雨、みぞれを伴う
2020/4/10,8.8,1.7,1.5,0,0,1,0,1,5.4,0,2.2,雨時々曇一時晴、みぞれを伴う,晴
2020/4/11,13.9,1.1,0,1,0,1,0,1,8.9,0,1.5,晴後時々曇,晴後曇一時雨、みぞれを伴う
2020/4/12,15.6,2.0,0.0,0,0,1,0,1,12.1,0,1.9,晴,曇時々晴後雨
2020/4/13,9.8,2.4,10.5,0,0,1,0,1,0.0,0,2.5,雨,雨後一時晴
2020/4/14,11.3,2.1,1.0,0,0,1,0,1,5.2,0,2.5,曇時々晴一時雨,晴
2020/4/15,19.9,0.3,0,1,0,1,0,1,11.7,0,2.4,晴,晴後時々曇
2020/4/16,15.2,5.4,0,1,0,1,0,1,10.5,0,2.7,晴一時曇,晴後時々曇
2020/4/17,17.2,3.1,0,1,0,1,0,1,11.3,0,2.4,晴後一時曇,曇一時晴
2020/4/18,11.3,6.6,72.5,0,0,1,0,1,0.0,0,1.7,大雨一時曇,大雨、雷を伴う
2020/4/19,14.2,6.8,9.5,0,0,1,0,1,0.8,0,2.6,曇時々雨,雨一時晴後曇
2020/4/20,13.5,6.8,7.5,0,0,1,0,1,0.0,0,2.1,雨時々曇,曇時々雨
2020/4/21,15.0,9.2,0.0,0,0,1,0,1,0.7,0,3.3,雨一時晴後曇,曇後時々雨
2020/4/22,10.7,5.3,0.5,0,0,1,0,1,1.4,0,3.0,雨時々曇,雨時々曇一時晴
2020/4/23,11.3,4.6,1.0,0,0,1,0,1,5.0,0,3.6,雨時々曇,雨時々曇一時晴
2020/4/24,11.9,4.0,0.0,0,0,1,0,1,1.6,0,2.3,雨時々曇一時晴,曇時々晴後雨
2020/4/25,19.1,4.4,0.5,0,0,1,0,1,8.8,0,2.3,晴一時雨,晴
2020/4/26,17.7,4.7,0.0,0,0,1,0,1,2.4,0,2.8,雨時々晴後曇,曇後時々晴
2020/4/27,15.6,4.8,0.0,0,0,1,0,1,8.0,0,1.8,曇時々雨後晴,晴
2020/4/28,16.2,2.5,0.0,0,0,1,0,1,8.3,0,2.0,晴後曇一時雨,晴後時々曇
2020/4/29,19.8,3.4,0,1,0,1,0,1,6.3,0,2.3,曇時々晴,晴後一時曇
2020/4/30,23.4,5.8,0,1,0,1,0,1,11.1,0,1.8,晴一時曇,晴後時々曇
2020/5/1,23.0,9.4,0.0,0,0,1,0,1,5.2,0,2.7,曇後一時雨一時晴,晴一時曇
2020/5/2,28.8,16.1,0,1,0,1,0,1,11.5,0,3.1,晴,晴後時々曇
2020/5/3,29.8,13.5,0,1,0,1,0,1,6.7,0,1.5,曇時々晴,曇後一時雨
2020/5/4,28.7,16.7,0.0,0,0,1,0,1,3.1,0,1.7,曇時々雨一時晴,曇時々雨一時晴
2020/5/5,22.0,12.5,0.0,0,0,1,0,1,10.5,0,2.6,晴時々曇,曇後時々雨、雷を伴う
2020/5/6,16.5,8.0,2.0,0,0,1,0,1,0.4,0,1.6,曇時々雨,晴一時雨後曇
2020/5/7,18.2,7.3,0.0,0,0,1,0,1,7.3,0,2.2,曇一時雨後晴,晴
2020/5/8,24.4,4.6,0,1,0,1,0,1,12.8,0,1.7,晴,曇一時晴
2020/5/9,22.3,11.1,0.0,0,0,1,0,1,1.5,0,1.5,曇,曇時々雨
2020/5/10,23.4,13.6,1.0,0,0,1,0,1,0.8,0,1.9,雨時々曇,雨後曇一時晴
2020/5/11,24.6,16.1,0.0,0,0,1,0,1,8.6,0,4.6,曇一時雨後晴,晴後一時曇
2020/5/12,25.8,10.2,0.0,0,0,1,0,1,5.7,0,2.4,晴後曇一時雨,曇一時雨後晴
2020/5/13,21.6,10.8,0.0,0,0,1,0,1,6.8,0,3.2,晴後曇時々雨、雷を伴う,晴後一時曇
2020/5/14,24.0,8.6,0,1,0,1,0,1,11.9,0,3.1,晴,晴後時々曇
2020/5/15,24.8,10.3,0,1,0,1,0,1,0.0,0,1.1,曇,曇
2020/5/16,24.3,14.7,0.0,0,0,1,0,1,2.2,0,1.7,曇時々雨一時晴,曇時々晴一時雨
2020/5/17,21.7,14.6,0.0,0,0,1,0,1,1.2,0,1.4,曇時々雨,曇時々晴
2020/5/18,24.1,14.5,0,1,0,1,0,1,8.5,0,2.6,晴時々曇,曇後時々雨
2020/5/19,16.5,9.8,17.0,0,0,1,0,1,0.1,0,2.7,雨後一時曇,雨時々曇
2020/5/20,13.2,7.7,5.5,0,0,1,0,1,0.1,0,3.1,雨時々曇,雨時々曇
2020/5/21,13.6,8.0,0.5,0,0,1,0,1,0.0,0,1.6,曇時々雨,曇時々雨
2020/5/22,21.3,9.9,0.0,0,0,1,0,1,3.8,0,1.6,曇後時々晴,晴一時曇後一時雨
